request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc19_q0,True,1.0105948448181152,25.354214668273926,6014,128,5.258051223617457,1781466500.8221967,1781466501.8327916,1781466526.1764114,
doc21_q0,True,1.0023634433746338,25.343323945999146,6014,128,5.258625681028432,1781466500.8331652,1781466501.8355286,1781466526.176489,
doc18_q0,True,1.0212063789367676,25.359987020492554,6014,128,5.259096660802066,1781466500.8165636,1781466501.83777,1781466526.1765506,
doc17_q0,True,1.029350996017456,25.366076231002808,6014,128,5.259540828278453,1781466500.8105664,1781466501.8399174,1781466526.1766427,
doc29_q0,True,1.5933496952056885,26.1547532081604,6014,128,5.21142857054107,1781466501.3868396,1781466502.9801893,1781466527.5415928,
doc24_q0,True,1.6159164905548096,26.176342964172363,6014,128,5.211635886595687,1781466501.365346,1781466502.9812624,1781466527.541689,
doc31_q0,True,1.581496000289917,26.14238476753235,6014,128,5.211537791365161,1781466501.399371,1781466502.980867,1781466527.5417557,
doc28_q0,True,1.6021738052368164,26.16239047050476,6014,128,5.2116804075679175,1781466501.3794284,1781466502.9816022,1781466527.5418189,
doc26_q0,True,1.61222243309021,26.17245864868164,6014,128,5.211676258990641,1781466501.3696818,1781466502.9819043,1781466527.5421405,
doc25_q0,True,1.6151022911071777,26.1749906539917,6014,128,5.211750074297431,1781466501.367203,1781466502.9823053,1781466527.5421937,
doc27_q0,True,1.6087703704833984,26.16802954673767,6014,128,5.2118835947527264,1781466501.3742123,1781466502.9829826,1781466527.5422418,
doc30_q0,True,1.5895240306854248,26.148533821105957,6014,128,5.211936519115179,1781466501.3937557,1781466502.9832797,1781466527.5422895,
doc22_q0,True,1.6218955516815186,26.180281162261963,6014,128,5.212068986523853,1781466501.3620563,1781466502.9839518,1781466527.5423374,
doc23_q0,True,1.6203863620758057,26.1785306930542,6014,128,5.21212019421748,1781466501.3638592,1781466502.9842455,1781466527.5423899,
doc32_q0,True,0.6359848976135254,25.226171016693115,6014,128,5.205328637211268,1781466525.79538,1781466526.431365,1781466551.0215511,
doc34_q0,True,1.0134482383728027,25.55019450187683,6014,128,5.21666559312256,1781466526.1786191,1781466527.1920674,1781466551.7288136,
doc37_q0,True,1.0113422870635986,25.550960063934326,6014,128,5.216055162873953,1781466526.1823285,1781466527.1936707,1781466551.7332885,
doc33_q0,True,1.0173795223236084,25.556872844696045,6014,128,5.2160816166201585,1781466526.176757,1781466527.1941366,1781466551.73363,
doc36_q0,True,1.0119633674621582,25.558387279510498,6014,128,5.214608875762657,1781466526.180709,1781466527.1926723,1781466551.7390962,
doc35_q0,True,1.0149953365325928,25.559749126434326,6014,128,5.214963698379492,1781466526.1797907,1781466527.194786,1781466551.7395399,
doc39_q0,True,1.2345926761627197,25.84026312828064,6014,128,5.202052927152915,1781466527.543881,1781466528.7784736,1781466553.384144,
doc40_q0,True,1.2343711853027344,25.839412212371826,6014,128,5.20218600160762,1781466527.5448434,1781466528.7792146,1781466553.3842556,
doc42_q0,True,1.231715202331543,25.836480140686035,6014,128,5.202244375050727,1781466527.5478406,1781466528.7795558,1781466553.3843207,
doc44_q0,True,1.2302956581115723,25.83432102203369,6014,128,5.202400749744454,1781466527.5500574,1781466528.780353,1781466553.3843784,
doc41_q0,True,1.2342126369476318,25.838757753372192,6014,128,5.2022908529430465,1781466527.5456798,1781466528.7798924,1781466553.3844376,
doc38_q0,True,1.2381999492645264,25.842017650604248,6014,128,5.202444659351795,1781466527.5424752,1781466528.7806752,1781466553.3844929,
doc43_q0,True,1.2321209907531738,25.835373163223267,6014,128,5.202564242430768,1781466527.549177,1781466528.781298,1781466553.38455,
doc45_q0,True,1.230912685394287,25.833969116210938,6014,128,5.202605633976156,1781466527.5508971,1781466528.7818098,1781466553.3848662,
doc47_q0,True,1.2300076484680176,25.832441329956055,6014,128,5.2027373249790685,1781466527.5524783,1781466528.782486,1781466553.3849196,
doc46_q0,True,1.2292735576629639,25.83325958251953,6014,128,5.202409067810637,1781466527.5517094,1781466528.780983,1781466553.384969,
doc48_q0,True,0.7094066143035889,25.362751245498657,6014,128,5.191993294006664,1781466551.0223377,1781466551.7317443,1781466576.385089,
doc51_q0,True,0.8705542087554932,25.531620502471924,6014,128,5.1903676213957555,1781466551.7461994,1781466552.6167536,1781466577.2778199,
doc50_q0,True,0.8768162727355957,25.53925108909607,6014,128,5.19007960702598,1781466551.740451,1781466552.6172674,1781466577.2797022,
doc53_q0,True,0.8568761348724365,25.519272327423096,6014,128,5.1900877352162045,1781466551.7609904,1781466552.6178665,1781466577.2802627,
doc52_q0,True,0.8644049167633057,25.526965856552124,6014,128,5.190053065150015,1781466551.7537732,1781466552.6181781,1781466577.280739,
doc49_q0,True,0.8842926025390625,25.546931743621826,6014,128,5.190036608319787,1781466551.7341914,1781466552.618484,1781466577.2811232,
doc56_q0,True,0.8547112941741943,25.657784700393677,6014,128,5.160650775153672,1781466553.3873942,1781466554.2421055,1781466579.045179,
doc55_q0,True,0.856874942779541,25.658878087997437,6014,128,5.160873468588356,1781466553.386429,1781466554.243304,1781466579.0453072,
doc54_q0,True,0.8579020500183105,25.660329341888428,6014,128,5.1607852124197775,1781466553.3850574,1781466554.2429595,1781466579.0453868,
doc57_q0,True,0.8554041385650635,25.65722417831421,6014,128,5.160911569991967,1781466553.3882356,1781466554.2436397,1781466579.0454597,
doc58_q0,True,0.8549590110778809,25.656501054763794,6014,128,5.160969417729685,1781466553.3890288,1781466554.2439878,1781466579.0455298,
doc59_q0,True,0.854971170425415,25.655824899673462,6014,128,5.16111265351513,1781466553.3897986,1781466554.2447698,1781466579.0456235,
doc61_q0,True,0.8513185977935791,25.651926279067993,6014,128,5.161163857152009,1781466553.3937693,1781466554.2450879,1781466579.0456955,
doc63_q0,True,0.850151777267456,25.650145530700684,6014,128,5.161291622594869,1781466553.3956206,1781466554.2457724,1781466579.045766,
doc60_q0,True,0.8555200099945068,25.65528440475464,6014,128,5.161339356395045,1781466553.390551,1781466554.246071,1781466579.0458355,
doc62_q0,True,0.8515751361846924,25.651103973388672,6014,128,5.161388381216978,1781466553.3947961,1781466554.2463713,1781466579.0459,
doc64_q0,True,0.696483850479126,26.397327661514282,6014,128,4.980381225656129,1781466576.3859162,1781466577.0824,1781466602.783244,
doc68_q0,True,0.7807705402374268,26.394362688064575,6014,128,4.997346692383345,1781466577.3011785,1781466578.081949,1781466603.6955411,
doc65_q0,True,0.8010830879211426,26.41461730003357,6014,128,4.997357995971906,1781466577.281514,1781466578.082597,1781466603.6961312,
doc69_q0,True,0.7773845195770264,26.389750719070435,6014,128,4.997585892807192,1781466577.306534,1781466578.0839186,1781466603.6962848,
doc67_q0,True,0.7879114151000977,26.40100598335266,6014,128,4.997443774664231,1781466577.2954073,1781466578.0833187,1781466603.6964133,
doc66_q0,True,0.7943100929260254,26.40721893310547,6014,128,4.997480012859923,1781466577.2893128,1781466578.083623,1781466603.6965318,
doc72_q0,True,0.9747905731201172,26.500685453414917,6014,128,5.014515675170786,1781466579.049022,1781466580.0238125,1781466605.5497074,
doc71_q0,True,0.9799702167510986,26.502038717269897,6014,128,5.015267473222168,1781466579.0478072,1781466580.0277774,1781466605.549846,
doc73_q0,True,0.9803776741027832,26.499643325805664,6014,128,5.015818313387033,1781466579.050279,1781466580.0306566,1781466605.5499222,
doc75_q0,True,0.9822969436645508,26.49690842628479,6014,128,5.016733258399393,1781466579.0530832,1781466580.0353801,1781466605.5499916,
doc3_q1,True,0.9795372486114502,26.48772954940796,6014,128,5.017995728219562,1781466579.062332,1781466580.0418692,1781466605.5500615,
doc2_q1,True,0.9860250949859619,26.49024987220764,6014,128,5.018776344628177,1781466579.0598764,1781466580.0459015,1781466605.5501263,
doc1_q1,True,0.9907333850860596,26.492846727371216,6014,128,5.01919187174824,1781466579.0576627,1781466580.048396,1781466605.5505095,
doc0_q1,True,0.9781379699707031,26.49573040008545,6014,128,5.016147207090744,1781466579.0548558,1781466580.0329938,1781466605.5505862,
doc70_q0,True,1.006666898727417,26.504413843154907,6014,128,5.020051390382721,1781466579.0462282,1781466580.052895,1781466605.550642,
doc74_q0,True,0.9990496635437012,26.49906849861145,6014,128,5.019604135506511,1781466579.0516284,1781466580.050678,1781466605.5506968,
doc4_q1,True,0.7214953899383545,25.441664934158325,6014,128,5.177958014043182,1781466602.7834427,1781466603.5049381,1781466628.2251077,
doc7_q1,True,0.6924052238464355,25.443528175354004,6014,128,5.1714825323593505,1781466603.7020595,1781466604.3944647,1781466629.1455877,
